box_img_group,label,IoU,sample_size,F1,Precision,Recall
<0.05,portal vein and splenic vein @ CT,0.011143,12,0.019658,0.023726,0.01678
<0.05,postcava (inferior vena cava) @ CT,0.863387,226,0.923108,0.916748,0.937233
<0.05,postcava @ CT,0.612342,176,0.733686,0.735645,0.765503
<0.05,primary gross tumor volume (head & neck) @ MR,0.143644,373,0.212864,0.160117,0.521106
<0.05,prostate/uterus @ CT,0.262544,28,0.360763,0.394592,0.381176
<0.05,renal artery @ CT,0.0,15,0.0,0.0,0.0
<0.05,renal vein @ CT,0.110601,106,0.141582,0.183355,0.123504
<0.05,resection cavity of brain @ MR,0.442296,393,0.540307,0.571504,0.576151
<0.05,right adrenal gland (rag) @ CT,0.295446,15,0.418068,0.385207,0.46403
<0.05,right adrenal gland @ CT,0.158648,33,0.247384,0.307323,0.269599
<0.05,right anterior cerebral artery @ MR,0.220434,84,0.313766,0.300972,0.388684
<0.05,right internal carotid artery @ MR,0.561786,199,0.640856,0.628674,0.681807
<0.05,right kidney @ CT,0.90908,344,0.948103,0.941866,0.958663
<0.05,right middle cerebral artery @ MR,0.234711,62,0.328633,0.295744,0.468896
<0.05,right posterior cerebral artery @ MR,0.313765,50,0.421717,0.431309,0.523075
<0.05,right posterior communicating artery @ MR,0.21737,17,0.29326,0.251143,0.394628
<0.05,spleen @ CT,0.89694,911,0.93862,0.928432,0.958358
<0.05,stomach @ CT,0.810739,207,0.874531,0.897505,0.870815
<0.05,stroke infarct @ MR,0.039347,228,0.057364,0.069618,0.084754
<0.05,surrounding non-enhancing flair hyperintensity of brain @ MR,0.183448,781,0.250807,0.239628,0.344341
<0.05,third a2 segment @ MR,0.548589,1,0.708502,0.55673,0.974035
<0.05,tibia @ MR,0.875247,24,0.932006,0.909453,0.963718
<0.05,transition zone of prostate @ MR,0.527707,117,0.64851,0.554948,0.873194
<0.05,tumor @ CT,0.172535,999,0.235395,0.280873,0.244676
<0.05,ventricles @ MR,0.269984,15,0.413668,0.569619,0.424592
<0.05,vestibular schwannoma @ MR,0.59393,264,0.667474,0.70806,0.652716
<0.05,white matter @ MR,0.05498,5,0.103145,0.055063,0.967733
